seed,n_knapsacks,n_items,alpha,branching_rule,node_selection,best_solution,best_bound,runtime,depth,number_of_left_turns,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
4,2,5,0.97,kolasar_rule,breadth_first,15,15.0,0.00023651123046875,3,1,4,True,2,15.0,0.0
5,2,5,0.5,critical_element,greatest_upper_bound,33,38.8,0.0001537799835205078,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.5,profit_per_weight_ratio,greatest_upper_bound,33,38.8,0.00015091896057128906,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.5,kolasar_rule,greatest_upper_bound,33,41.0,0.00016427040100097656,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.5,critical_element,depth_first,33,38.8,0.0001506805419921875,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.5,profit_per_weight_ratio,depth_first,33,38.8,0.00015091896057128906,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.5,kolasar_rule,depth_first,33,41.0,0.00016951560974121094,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.5,critical_element,breadth_first,33,38.8,0.00015020370483398438,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.5,profit_per_weight_ratio,breadth_first,33,38.8,0.00015115737915039062,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.5,kolasar_rule,breadth_first,33,41.0,0.00016450881958007812,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.8,critical_element,greatest_upper_bound,33,38.8,0.0001513957977294922,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.8,profit_per_weight_ratio,greatest_upper_bound,33,38.8,0.0001518726348876953,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.8,kolasar_rule,greatest_upper_bound,33,41.0,0.00016379356384277344,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.8,critical_element,depth_first,33,38.8,0.00015115737915039062,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.8,profit_per_weight_ratio,depth_first,33,38.8,0.00015211105346679688,0,0,2,True,2,38.0,0.13157894736842105
5,2,5,0.8,kolasar_rule,depth_first,33,41.0,0.00017142295837402344,0,0,2,True,2,38.0,0.13157894736842105
