seed,n_machines,n_jobs,epsilon,branching_rule,node_selection,rounding_rule,lower_bound,best_solution,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
3,2,5,0.05,max_min_proc,lowest_lower_bound,best_matching,lin_relax,77,0.00828623771667481,1,3,True,2,77,0
3,2,5,0.05,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,77,0.00818943977355957,1,3,True,2,77,0
3,2,5,0.05,max_min_proc,lowest_lower_bound,best_matching,bin_search,77,0.02577805519104,0,2,True,2,77,0
3,2,5,0.05,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,78,0.0257782936096191,0,2,True,2,77,0.0128205128205128
3,2,5,0.05,max_min_proc,depth_first,best_matching,lin_relax,77,0.0143539905548096,2,5,True,2,77,0
3,2,5,0.05,max_min_proc,depth_first,all_to_shortest,lin_relax,77,0.0143401622772217,2,5,True,2,77,0
3,2,5,0.05,max_min_proc,depth_first,best_matching,bin_search,77,0.025752067565918,0,2,True,2,77,0
3,2,5,0.05,max_min_proc,depth_first,all_to_shortest,bin_search,78,0.0257656574249268,0,2,True,2,77,0.0128205128205128
3,2,5,0.05,max_min_proc,breadth_first,best_matching,lin_relax,77,0.0112690925598145,1,4,True,2,77,0
3,2,5,0.05,max_min_proc,breadth_first,all_to_shortest,lin_relax,77,0.011218786239624,1,4,True,2,77,0
3,2,5,0.05,max_min_proc,breadth_first,best_matching,bin_search,77,0.0258080959320068,0,2,True,2,77,0
3,2,5,0.05,max_min_proc,breadth_first,all_to_shortest,bin_search,78,0.0258221626281738,0,2,True,2,77,0.0128205128205128
3,2,5,0.01,max_min_proc,lowest_lower_bound,best_matching,lin_relax,77,0.0143957138061523,2,5,True,2,77,0
3,2,5,0.01,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,77,0.0142872333526611,2,5,True,2,77,0
3,2,5,0.01,max_min_proc,lowest_lower_bound,best_matching,bin_search,77,0.0653610229492188,2,5,True,2,77,0
3,2,5,0.01,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,77,0.0644845962524414,2,5,True,3,77,0
3,2,5,0.01,max_min_proc,depth_first,best_matching,lin_relax,77,0.0143954753875732,2,5,True,2,77,0
3,2,5,0.01,max_min_proc,depth_first,all_to_shortest,lin_relax,77,0.0143411159515381,2,5,True,2,77,0
3,2,5,0.01,max_min_proc,depth_first,best_matching,bin_search,77,0.064223051071167,2,5,True,2,77,0
3,2,5,0.01,max_min_proc,depth_first,all_to_shortest,bin_search,77,0.0645632743835449,2,5,True,3,77,0
3,2,5,0.01,max_min_proc,breadth_first,best_matching,lin_relax,77,0.0143694877624512,2,5,True,2,77,0
3,2,5,0.01,max_min_proc,breadth_first,all_to_shortest,lin_relax,77,0.014340877532959,2,5,True,2,77,0
3,2,5,0.01,max_min_proc,breadth_first,best_matching,bin_search,77,0.0645804405212402,2,5,True,2,77,0
3,2,5,0.01,max_min_proc,breadth_first,all_to_shortest,bin_search,77,0.0642080307006836,2,5,True,3,77,0
4,2,5,0.5,max_min_proc,lowest_lower_bound,best_matching,lin_relax,106,0.00529718399047852,0,2,True,2,106,0
4,2,5,0.5,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,106,0.00503015518188477,0,2,True,2,106,0
4,2,5,0.5,max_min_proc,lowest_lower_bound,best_matching,bin_search,106,0.0320959091186523,0,2,True,2,106,0
4,2,5,0.5,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,106,0.0321414470672607,0,2,True,2,106,0
4,2,5,0.5,max_min_proc,depth_first,best_matching,lin_relax,106,0.00506925582885742,0,2,True,2,106,0
4,2,5,0.5,max_min_proc,depth_first,all_to_shortest,lin_relax,106,0.00501370429992676,0,2,True,2,106,0
4,2,5,0.5,max_min_proc,depth_first,best_matching,bin_search,106,0.0321929454803467,0,2,True,2,106,0
4,2,5,0.5,max_min_proc,depth_first,all_to_shortest,bin_search,106,0.0321612358093262,0,2,True,2,106,0
4,2,5,0.5,max_min_proc,breadth_first,best_matching,lin_relax,106,0.00507640838623047,0,2,True,2,106,0
4,2,5,0.5,max_min_proc,breadth_first,all_to_shortest,lin_relax,106,0.00504446029663086,0,2,True,2,106,0
4,2,5,0.5,max_min_proc,breadth_first,best_matching,bin_search,106,0.032059907913208,0,2,True,2,106,0
4,2,5,0.5,max_min_proc,breadth_first,all_to_shortest,bin_search,106,0.0320858955383301,0,2,True,2,106,0
4,2,5,0.1,max_min_proc,lowest_lower_bound,best_matching,lin_relax,106,0.00509023666381836,0,2,True,2,106,0
4,2,5,0.1,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,106,0.0050203800201416,0,2,True,2,106,0
